author_last_name, authors, title
Webb, Charles Webb, The Graduate
Steinbeck, John Steinbeck, The Grapes of Wrath
Dickens, Charles Dickens, Great Expectations
Fitzgerald, F. Scott Fitzgerald, The Great Gatsby
Mccarthy, Mary Mccarthy, The Group
Blyth, R.H. Blyth, "Haiku, Volume 2: Spring"
Shakespeare, William Shakespeare, Hamlet
Rowling, J.K. Rowling, Harry Potter and the Goblet of Fire
Rowling, J.K. Rowling, Harry Potter and the Sorcerer’s Stone
Eggers, Dave Eggers, A Heartbreaking Work of Staggering Genius
Conrad, Joseph Conrad, Heart of Darkness
Thompson, Hunter S. Thompson, Hell’s Angels: The Strange and Terrible Saga of the Outlaw Motorcycle Gangs
Bugliosi, Vincent Bugliosi and Curt Gentry, Helter Skelter: The True Story of the Manson Murders
Shakespeare, William Shakespeare, "Henry IV, Part I"
Shakespeare, William Shakespeare, "Henry IV, Part II"
Shakespeare, William Shakespeare, Henry V
Shakespeare, William Shakespeare, Henry VI
Behrendt, Greg Behrendt and Liz Tuccillo, He’s Just Not That into You
Hornby, Nick Hornby, High Fidelity
Gibbon, Edward Gibbon, The History of the Decline and Fall of the Roman Empire
Sedaris, David Sedaris, Holidays on Ice: Stories
Lipton, Lawrence Lipton, The Holy Barbarians
Seuss, Dr. Seuss, Horton Hears A Who!
III, Andre Dubus III, House of Sand and Fog
Allende, Isabel Allende, The House of the Spirits
Ginsberg, Allen Ginsberg, Howl and Other Poems
Orringer, Julie Orringer, How to Breathe Underwater
Seuss, Dr. Seuss, How the Grinch Stole Christmas
Hyland, M. J. Hyland, How the Light Gets In
Hugo, Victor Hugo, The Hunchback of Notre Dame
Ephron, Nora Ephron, I Feel Bad about My Neck
Homer, Homer, The Iliad
Barres, Pamela Des Barres, I’m with the Band
Capote, Truman Capote, In Cold Blood
Sand, George Sand, Indiana
Alighieri, Dante Alighieri, The Inferno
Lawrence, Jerome Lawrence and Robert E. Lee, Inherit the Wind
Kennedy, William J. Kennedy, Ironweed
Clinton, Hillary Rodham Clinton, It Takes A Village
Brontë, Charlotte Brontë, Jane Eyre
Tan, Amy Tan, The Joy Luck Club
Shakespeare, William Shakespeare, Julius Caesar
Sinclair, Upton Sinclair, The Jungle
Crichton, Michael Crichton, Jurassic Park
Vigorito, Tony Vigorito, Just a Couple of Days
Alexander, Robert Alexander, The Kitchen Boy: A Novel of the Last Tsar
Bourdain, Anthony Bourdain, Kitchen Confidential: Adventures in the Culinary Underbelly
Hosseini, Khaled Hosseini, The Kite Runner
